Web Search interest: vod
Worldwide 2004 - present

Interest over time
Week,vod
2005-05-08 - 2005-05-14,30
2005-05-15 - 2005-05-21,28
2005-05-22 - 2005-05-28,30
2005-05-29 - 2005-06-04,28
2005-06-05 - 2005-06-11,32
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,31
2005-06-26 - 2005-07-02,29
2005-07-03 - 2005-07-09,28
2005-07-10 - 2005-07-16,31
2005-07-17 - 2005-07-23,29
2005-07-24 - 2005-07-30,30
2005-07-31 - 2005-08-06,31
2005-08-07 - 2005-08-13,28
2005-08-14 - 2005-08-20,29
2005-08-21 - 2005-08-27,29
2005-08-28 - 2005-09-03,26
2005-09-04 - 2005-09-10,29
2005-09-11 - 2005-09-17,26
2005-09-18 - 2005-09-24,27
2005-09-25 - 2005-10-01,28
2005-10-02 - 2005-10-08,27
2005-10-09 - 2005-10-15,28
2005-10-16 - 2005-10-22,28
2005-10-23 - 2005-10-29,27
2005-10-30 - 2005-11-05,28
2005-11-06 - 2005-11-12,30
2005-11-13 - 2005-11-19,27
2005-11-20 - 2005-11-26,29
2005-11-27 - 2005-12-03,28
2005-12-04 - 2005-12-10,26
2005-12-11 - 2005-12-17,27
2005-12-18 - 2005-12-24,29
2005-12-25 - 2005-12-31,32
2006-01-01 - 2006-01-07,32
2006-01-08 - 2006-01-14,30
2006-01-15 - 2006-01-21,32
2006-01-22 - 2006-01-28,29
2006-01-29 - 2006-02-04,27
2006-02-05 - 2006-02-11,27
2006-02-12 - 2006-02-18,28
2006-02-19 - 2006-02-25,28
2006-02-26 - 2006-03-04,28
2006-03-05 - 2006-03-11,31
2006-03-12 - 2006-03-18,28
2006-03-19 - 2006-03-25,28
2006-03-26 - 2006-04-01,26
2006-04-02 - 2006-04-08,29
2006-04-09 - 2006-04-15,30
2006-04-16 - 2006-04-22,29
2006-04-23 - 2006-04-29,29
2006-04-30 - 2006-05-06,28
2006-05-07 - 2006-05-13,31
2006-05-14 - 2006-05-20,27
2006-05-21 - 2006-05-27,29
2006-05-28 - 2006-06-03,27
2006-06-04 - 2006-06-10,29
2006-06-11 - 2006-06-17,30
2006-06-18 - 2006-06-24,28
2006-06-25 - 2006-07-01,27
2006-07-02 - 2006-07-08,26
2006-07-09 - 2006-07-15,27
2006-07-16 - 2006-07-22,32
2006-07-23 - 2006-07-29,29
2006-07-30 - 2006-08-05,32
2006-08-06 - 2006-08-12,30
2006-08-13 - 2006-08-19,33
2006-08-20 - 2006-08-26,32
2006-08-27 - 2006-09-02,31
2006-09-03 - 2006-09-09,29
2006-09-10 - 2006-09-16,32
2006-09-17 - 2006-09-23,30
2006-09-24 - 2006-09-30,29
2006-10-01 - 2006-10-07,28
2006-10-08 - 2006-10-14,28
2006-10-15 - 2006-10-21,31
2006-10-22 - 2006-10-28,31
2006-10-29 - 2006-11-04,29
2006-11-05 - 2006-11-11,28
2006-11-12 - 2006-11-18,29
2006-11-19 - 2006-11-25,28
2006-11-26 - 2006-12-02,27
2006-12-03 - 2006-12-09,28
2006-12-10 - 2006-12-16,29
2006-12-17 - 2006-12-23,31
2006-12-24 - 2006-12-30,32
2006-12-31 - 2007-01-06,33
2007-01-07 - 2007-01-13,27
2007-01-14 - 2007-01-20,29
2007-01-21 - 2007-01-27,26
2007-01-28 - 2007-02-03,26
2007-02-04 - 2007-02-10,28
2007-02-11 - 2007-02-17,27
2007-02-18 - 2007-02-24,27
2007-02-25 - 2007-03-03,29
2007-03-04 - 2007-03-10,28
2007-03-11 - 2007-03-17,28
2007-03-18 - 2007-03-24,29
2007-03-25 - 2007-03-31,28
2007-04-01 - 2007-04-07,31
2007-04-08 - 2007-04-14,29
2007-04-15 - 2007-04-21,27
2007-04-22 - 2007-04-28,27
2007-04-29 - 2007-05-05,27
2007-05-06 - 2007-05-12,28
2007-05-13 - 2007-05-19,32
2007-05-20 - 2007-05-26,32
2007-05-27 - 2007-06-02,32
2007-06-03 - 2007-06-09,32
2007-06-10 - 2007-06-16,32
2007-06-17 - 2007-06-23,31
2007-06-24 - 2007-06-30,31
2007-07-01 - 2007-07-07,34
2007-07-08 - 2007-07-14,33
2007-07-15 - 2007-07-21,32
2007-07-22 - 2007-07-28,32
2007-07-29 - 2007-08-04,30
2007-08-05 - 2007-08-11,29
2007-08-12 - 2007-08-18,31
2007-08-19 - 2007-08-25,30
2007-08-26 - 2007-09-01,31
2007-09-02 - 2007-09-08,30
2007-09-09 - 2007-09-15,29
2007-09-16 - 2007-09-22,30
2007-09-23 - 2007-09-29,31
2007-09-30 - 2007-10-06,29
2007-10-07 - 2007-10-13,29
2007-10-14 - 2007-10-20,29
2007-10-21 - 2007-10-27,29
2007-10-28 - 2007-11-03,31
2007-11-04 - 2007-11-10,31
2007-11-11 - 2007-11-17,30
2007-11-18 - 2007-11-24,32
2007-11-25 - 2007-12-01,31
2007-12-02 - 2007-12-08,31
2007-12-09 - 2007-12-15,30
2007-12-16 - 2007-12-22,30
2007-12-23 - 2007-12-29,34
2007-12-30 - 2008-01-05,36
2008-01-06 - 2008-01-12,31
2008-01-13 - 2008-01-19,30
2008-01-20 - 2008-01-26,30
2008-01-27 - 2008-02-02,31
2008-02-03 - 2008-02-09,31
2008-02-10 - 2008-02-16,29
2008-02-17 - 2008-02-23,31
2008-02-24 - 2008-03-01,32
2008-03-02 - 2008-03-08,29
2008-03-09 - 2008-03-15,31
2008-03-16 - 2008-03-22,31
2008-03-23 - 2008-03-29,31
2008-03-30 - 2008-04-05,28
2008-04-06 - 2008-04-12,27
2008-04-13 - 2008-04-19,28
2008-04-20 - 2008-04-26,30
2008-04-27 - 2008-05-03,27
2008-05-04 - 2008-05-10,26
2008-05-11 - 2008-05-17,28
2008-05-18 - 2008-05-24,28
2008-05-25 - 2008-05-31,29
2008-06-01 - 2008-06-07,27
2008-06-08 - 2008-06-14,28
2008-06-15 - 2008-06-21,28
2008-06-22 - 2008-06-28,27
2008-06-29 - 2008-07-05,27
2008-07-06 - 2008-07-12,29
2008-07-13 - 2008-07-19,29
2008-07-20 - 2008-07-26,30
2008-07-27 - 2008-08-02,28
2008-08-03 - 2008-08-09,29
2008-08-10 - 2008-08-16,30
2008-08-17 - 2008-08-23,28
2008-08-24 - 2008-08-30,30
2008-08-31 - 2008-09-06,29
2008-09-07 - 2008-09-13,28
2008-09-14 - 2008-09-20,28
2008-09-21 - 2008-09-27,32
2008-09-28 - 2008-10-04,30
2008-10-05 - 2008-10-11,33
2008-10-12 - 2008-10-18,33
2008-10-19 - 2008-10-25,37
2008-10-26 - 2008-11-01,30
2008-11-02 - 2008-11-08,32
2008-11-09 - 2008-11-15,32
2008-11-16 - 2008-11-22,30
2008-11-23 - 2008-11-29,32
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,31
2008-12-14 - 2008-12-20,30
2008-12-21 - 2008-12-27,34
2008-12-28 - 2009-01-03,38
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,29
2009-01-18 - 2009-01-24,31
2009-01-25 - 2009-01-31,29
2009-02-01 - 2009-02-07,30
2009-02-08 - 2009-02-14,30
2009-02-15 - 2009-02-21,30
2009-02-22 - 2009-02-28,30
2009-03-01 - 2009-03-07,32
2009-03-08 - 2009-03-14,31
2009-03-15 - 2009-03-21,32
2009-03-22 - 2009-03-28,31
2009-03-29 - 2009-04-04,30
2009-04-05 - 2009-04-11,33
2009-04-12 - 2009-04-18,32
2009-04-19 - 2009-04-25,32
2009-04-26 - 2009-05-02,31
2009-05-03 - 2009-05-09,32
2009-05-10 - 2009-05-16,30
2009-05-17 - 2009-05-23,30
2009-05-24 - 2009-05-30,30
2009-05-31 - 2009-06-06,30
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,29
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,32
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,32
2009-08-23 - 2009-08-29,32
2009-08-30 - 2009-09-05,30
2009-09-06 - 2009-09-12,31
2009-09-13 - 2009-09-19,30
2009-09-20 - 2009-09-26,33
2009-09-27 - 2009-10-03,32
2009-10-04 - 2009-10-10,30
2009-10-11 - 2009-10-17,30
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,33
2009-11-08 - 2009-11-14,31
2009-11-15 - 2009-11-21,32
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,31
2009-12-13 - 2009-12-19,31
2009-12-20 - 2009-12-26,34
2009-12-27 - 2010-01-02,37
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,28
2010-01-17 - 2010-01-23,28
2010-01-24 - 2010-01-30,27
2010-01-31 - 2010-02-06,27
2010-02-07 - 2010-02-13,28
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,55
2010-03-14 - 2010-03-20,52
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,49
2010-04-11 - 2010-04-17,41
2010-04-18 - 2010-04-24,38
2010-04-25 - 2010-05-01,43
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,46
2010-05-16 - 2010-05-22,50
2010-05-23 - 2010-05-29,45
2010-05-30 - 2010-06-05,46
2010-06-06 - 2010-06-12,40
2010-06-13 - 2010-06-19,37
2010-06-20 - 2010-06-26,33
2010-06-27 - 2010-07-03,31
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,31
2010-07-18 - 2010-07-24,32
2010-07-25 - 2010-07-31,32
2010-08-01 - 2010-08-07,32
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,35
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,57
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,61
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,66
2010-11-14 - 2010-11-20,67
2010-11-21 - 2010-11-27,67
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,57
2011-01-02 - 2011-01-08,56
2011-01-09 - 2011-01-15,58
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,68
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,87
2011-03-13 - 2011-03-19,91
2011-03-20 - 2011-03-26,89
2011-03-27 - 2011-04-02,87
2011-04-03 - 2011-04-09,90
2011-04-10 - 2011-04-16,97
2011-04-17 - 2011-04-23,97
2011-04-24 - 2011-04-30,98
2011-05-01 - 2011-05-07,100
2011-05-08 - 2011-05-14,98
2011-05-15 - 2011-05-21,93
2011-05-22 - 2011-05-28,89
2011-05-29 - 2011-06-04,88
2011-06-05 - 2011-06-11,82
2011-06-12 - 2011-06-18,76
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,41
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,41
2011-07-24 - 2011-07-30,40
2011-07-31 - 2011-08-06,41
2011-08-07 - 2011-08-13,41
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,49
2011-09-04 - 2011-09-10,79
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,45
2011-10-02 - 2011-10-08,48
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,43
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,38
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,39
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,42
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,41
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,36
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,36
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,36
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,34
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,33
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,38
2012-09-09 - 2012-09-15,38
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,39
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,42
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,37
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,38
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,43
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,34
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,32
2013-06-09 - 2013-06-15,28
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,29
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,39
2013-09-22 - 2013-09-28,37
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,40
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,39
2013-12-29 - 2014-01-04,42
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,38
2014-01-19 - 2014-01-25,37
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,34
2014-02-16 - 2014-02-22,35
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,35
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,36
2014-04-13 - 2014-04-19,35
2014-04-20 - 2014-04-26,35
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,35
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,37
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,33
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,26
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,28
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,28
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,28
2014-08-31 - 2014-09-06,33
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,36
2014-10-05 - 2014-10-11,36
2014-10-12 - 2014-10-18,36
2014-10-19 - 2014-10-25,36
2014-10-26 - 2014-11-01,45
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,36
2014-11-23 - 2014-11-29,34
2014-11-30 - 2014-12-06,34
2014-12-07 - 2014-12-13,34
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,44
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,35
2015-01-18 - 2015-01-24,36
2015-01-25 - 2015-01-31,38
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,38
2015-02-22 - 2015-02-28,39
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,42
2015-03-15 - 2015-03-21,41
2015-03-22 - 2015-03-28,40
2015-03-29 - 2015-04-04,41
2015-04-05 - 2015-04-11,42
2015-04-12 - 2015-04-18,39
2015-04-19 - 2015-04-25,38
2015-04-26 - 2015-05-02,41
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,40
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,36
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,26
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,25
2015-08-16 - 2015-08-22,25
2015-08-23 - 2015-08-29,27
2015-08-30 - 2015-09-05,36
2015-09-06 - 2015-09-12,41
2015-09-13 - 2015-09-19,43
2015-09-20 - 2015-09-26,42
2015-09-27 - 2015-10-03,42
2015-10-04 - 2015-10-10,43
2015-10-11 - 2015-10-17,45
2015-10-18 - 2015-10-24,45
2015-10-25 - 2015-10-31,43
2015-11-01 - 2015-11-07,41
2015-11-08 - 2015-11-14,43
2015-11-15 - 2015-11-21,43
2015-11-22 - 2015-11-28,42
2015-11-29 - 2015-12-05,39
2015-12-06 - 2015-12-12,39
2015-12-13 - 2015-12-19,38
2015-12-20 - 2015-12-26,38
2015-12-27 - 2016-01-02,45
2016-01-03 - 2016-01-09,40
2016-01-10 - 2016-01-16,37
2016-01-17 - 2016-01-23,37
2016-01-24 - 2016-01-30,40
2016-01-31 - 2016-02-06,38
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,39
2016-02-21 - 2016-02-27,39
2016-02-28 - 2016-03-05,42
2016-03-06 - 2016-03-12,44
2016-03-13 - 2016-03-19,41
2016-03-20 - 2016-03-26,39
2016-03-27 - 2016-04-02,40
2016-04-03 - 2016-04-09,41
2016-04-10 - 2016-04-16,41
2016-04-17 - 2016-04-23,39
2016-04-24 - 2016-04-30,50


Top regions for vod
Region,vod
Poland,100
Israel,44
Cambodia,28
Czech Republic,15
France,12
China,9
Slovakia,6
Slovenia,6
South Korea,6
Croatia,4
Ireland,3
Belgium,3
Canada,3
Taiwan,3
Switzerland,3
Norway,3
Germany,2
Hong Kong,2
Singapore,2
United Kingdom,2
Serbia,2
Sweden,2
Denmark,2
United States,2
Netherlands,2
Pakistan,2
Malaysia,2
New Zealand,2
Japan,2
Austria,2
Hungary,2
Finland,2
Portugal,2
Australia,1
South Africa,1
India,1
Italy,1
Chile,1
Greece,1
Romania,1
Spain,1
Russia,1
Ukraine,1
Philippines,1
Vietnam,1
Turkey,1
Thailand,1
Argentina,1
Mexico,1


Top cities for vod
City,vod
Krakow (Poland),100
Bialystok (Poland),99
Gdynia (Poland),88
Lublin (Poland),86
Torun (Poland),84
Kielce (Poland),83
Lodz (Poland),82
Rzeszow (Poland),77
Wroclaw (Poland),76
Poznan (Poland),72
Gdansk (Poland),70
Bydgoszcz (Poland),68
Warsaw (Poland),68
Szczecin (Poland),63
Katowice (Poland),63



Top searches for vod
tvp vod,100
tvp,100
onet vod,85
tv vod,45
tvn vod,35
vod player,25
vod orange,25
m jak miłość,20
divx vod,20
vod pl,20
free vod,20
canal vod,15
tvn player,10
ipla,10
seriale vod,10
prosto w serce,10
וואלה vod,10
amazon vod,10
vod tf1,10
my vod,10
hot vod,10
vod polsat,10
video on demand,10
vod wspaniałe stulecie,10
wspaniałe stulecie,10
shaw vod,10
m jak milosc,10
barwy szczęścia,5
vod barwy szczęścia,5
sfr vod,5
walla vod,5
canalplay vod,5
canalplay,5
arte vod,5
usta usta vod,5



Rising searches for vod
m jak miłość,Breakout
onet vod,Breakout
tvn vod,Breakout
tvp,Breakout
tvp vod,Breakout
vod orange,Breakout
tv vod,+300%
vod player,+110%
divx vod,+40%



