Web Search interest: ups
Worldwide 2004 - present

Interest over time
Week,ups
2005-04-10 - 2005-04-16,57
2005-04-17 - 2005-04-23,57
2005-04-24 - 2005-04-30,58
2005-05-01 - 2005-05-07,59
2005-05-08 - 2005-05-14,58
2005-05-15 - 2005-05-21,60
2005-05-22 - 2005-05-28,60
2005-05-29 - 2005-06-04,56
2005-06-05 - 2005-06-11,62
2005-06-12 - 2005-06-18,62
2005-06-19 - 2005-06-25,63
2005-06-26 - 2005-07-02,64
2005-07-03 - 2005-07-09,60
2005-07-10 - 2005-07-16,66
2005-07-17 - 2005-07-23,66
2005-07-24 - 2005-07-30,66
2005-07-31 - 2005-08-06,66
2005-08-07 - 2005-08-13,66
2005-08-14 - 2005-08-20,66
2005-08-21 - 2005-08-27,63
2005-08-28 - 2005-09-03,64
2005-09-04 - 2005-09-10,61
2005-09-11 - 2005-09-17,63
2005-09-18 - 2005-09-24,62
2005-09-25 - 2005-10-01,62
2005-10-02 - 2005-10-08,59
2005-10-09 - 2005-10-15,63
2005-10-16 - 2005-10-22,62
2005-10-23 - 2005-10-29,62
2005-10-30 - 2005-11-05,61
2005-11-06 - 2005-11-12,61
2005-11-13 - 2005-11-19,62
2005-11-20 - 2005-11-26,58
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,71
2005-12-11 - 2005-12-17,81
2005-12-18 - 2005-12-24,97
2005-12-25 - 2005-12-31,64
2006-01-01 - 2006-01-07,64
2006-01-08 - 2006-01-14,62
2006-01-15 - 2006-01-21,62
2006-01-22 - 2006-01-28,61
2006-01-29 - 2006-02-04,61
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,59
2006-02-26 - 2006-03-04,60
2006-03-05 - 2006-03-11,61
2006-03-12 - 2006-03-18,60
2006-03-19 - 2006-03-25,59
2006-03-26 - 2006-04-01,61
2006-04-02 - 2006-04-08,59
2006-04-09 - 2006-04-15,61
2006-04-16 - 2006-04-22,61
2006-04-23 - 2006-04-29,60
2006-04-30 - 2006-05-06,60
2006-05-07 - 2006-05-13,61
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,59
2006-05-28 - 2006-06-03,59
2006-06-04 - 2006-06-10,63
2006-06-11 - 2006-06-17,63
2006-06-18 - 2006-06-24,65
2006-06-25 - 2006-07-01,65
2006-07-02 - 2006-07-08,59
2006-07-09 - 2006-07-15,65
2006-07-16 - 2006-07-22,66
2006-07-23 - 2006-07-29,68
2006-07-30 - 2006-08-05,68
2006-08-06 - 2006-08-12,67
2006-08-13 - 2006-08-19,68
2006-08-20 - 2006-08-26,66
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,62
2006-09-10 - 2006-09-16,66
2006-09-17 - 2006-09-23,64
2006-09-24 - 2006-09-30,64
2006-10-01 - 2006-10-07,62
2006-10-08 - 2006-10-14,62
2006-10-15 - 2006-10-21,63
2006-10-22 - 2006-10-28,62
2006-10-29 - 2006-11-04,62
2006-11-05 - 2006-11-11,62
2006-11-12 - 2006-11-18,66
2006-11-19 - 2006-11-25,58
2006-11-26 - 2006-12-02,71
2006-12-03 - 2006-12-09,74
2006-12-10 - 2006-12-16,81
2006-12-17 - 2006-12-23,99
2006-12-24 - 2006-12-30,61
2006-12-31 - 2007-01-06,64
2007-01-07 - 2007-01-13,65
2007-01-14 - 2007-01-20,64
2007-01-21 - 2007-01-27,64
2007-01-28 - 2007-02-03,63
2007-02-04 - 2007-02-10,62
2007-02-11 - 2007-02-17,65
2007-02-18 - 2007-02-24,63
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,61
2007-03-11 - 2007-03-17,61
2007-03-18 - 2007-03-24,61
2007-03-25 - 2007-03-31,64
2007-04-01 - 2007-04-07,61
2007-04-08 - 2007-04-14,61
2007-04-15 - 2007-04-21,61
2007-04-22 - 2007-04-28,63
2007-04-29 - 2007-05-05,60
2007-05-06 - 2007-05-12,62
2007-05-13 - 2007-05-19,60
2007-05-20 - 2007-05-26,62
2007-05-27 - 2007-06-02,59
2007-06-03 - 2007-06-09,64
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,63
2007-06-24 - 2007-06-30,65
2007-07-01 - 2007-07-07,63
2007-07-08 - 2007-07-14,67
2007-07-15 - 2007-07-21,70
2007-07-22 - 2007-07-28,68
2007-07-29 - 2007-08-04,66
2007-08-05 - 2007-08-11,65
2007-08-12 - 2007-08-18,65
2007-08-19 - 2007-08-25,65
2007-08-26 - 2007-09-01,65
2007-09-02 - 2007-09-08,60
2007-09-09 - 2007-09-15,63
2007-09-16 - 2007-09-22,63
2007-09-23 - 2007-09-29,64
2007-09-30 - 2007-10-06,64
2007-10-07 - 2007-10-13,63
2007-10-14 - 2007-10-20,62
2007-10-21 - 2007-10-27,63
2007-10-28 - 2007-11-03,61
2007-11-04 - 2007-11-10,63
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,61
2007-11-25 - 2007-12-01,72
2007-12-02 - 2007-12-08,72
2007-12-09 - 2007-12-15,80
2007-12-16 - 2007-12-22,100
2007-12-23 - 2007-12-29,66
2007-12-30 - 2008-01-05,70
2008-01-06 - 2008-01-12,70
2008-01-13 - 2008-01-19,65
2008-01-20 - 2008-01-26,64
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,63
2008-02-10 - 2008-02-16,65
2008-02-17 - 2008-02-23,61
2008-02-24 - 2008-03-01,62
2008-03-02 - 2008-03-08,61
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,60
2008-03-23 - 2008-03-29,60
2008-03-30 - 2008-04-05,62
2008-04-06 - 2008-04-12,61
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,61
2008-05-04 - 2008-05-10,63
2008-05-11 - 2008-05-17,63
2008-05-18 - 2008-05-24,62
2008-05-25 - 2008-05-31,61
2008-06-01 - 2008-06-07,65
2008-06-08 - 2008-06-14,65
2008-06-15 - 2008-06-21,64
2008-06-22 - 2008-06-28,65
2008-06-29 - 2008-07-05,61
2008-07-06 - 2008-07-12,67
2008-07-13 - 2008-07-19,69
2008-07-20 - 2008-07-26,74
2008-07-27 - 2008-08-02,69
2008-08-03 - 2008-08-09,66
2008-08-10 - 2008-08-16,68
2008-08-17 - 2008-08-23,65
2008-08-24 - 2008-08-30,66
2008-08-31 - 2008-09-06,62
2008-09-07 - 2008-09-13,66
2008-09-14 - 2008-09-20,65
2008-09-21 - 2008-09-27,65
2008-09-28 - 2008-10-04,63
2008-10-05 - 2008-10-11,63
2008-10-12 - 2008-10-18,63
2008-10-19 - 2008-10-25,64
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,65
2008-11-16 - 2008-11-22,64
2008-11-23 - 2008-11-29,59
2008-11-30 - 2008-12-06,74
2008-12-07 - 2008-12-13,74
2008-12-14 - 2008-12-20,88
2008-12-21 - 2008-12-27,76
2008-12-28 - 2009-01-03,68
2009-01-04 - 2009-01-10,73
2009-01-11 - 2009-01-17,67
2009-01-18 - 2009-01-24,63
2009-01-25 - 2009-01-31,63
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,62
2009-02-15 - 2009-02-21,61
2009-02-22 - 2009-02-28,61
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,59
2009-03-15 - 2009-03-21,58
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,57
2009-05-03 - 2009-05-09,58
2009-05-10 - 2009-05-16,59
2009-05-17 - 2009-05-23,57
2009-05-24 - 2009-05-30,54
2009-05-31 - 2009-06-06,58
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,60
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,60
2009-07-12 - 2009-07-18,62
2009-07-19 - 2009-07-25,63
2009-07-26 - 2009-08-01,63
2009-08-02 - 2009-08-08,64
2009-08-09 - 2009-08-15,63
2009-08-16 - 2009-08-22,63
2009-08-23 - 2009-08-29,63
2009-08-30 - 2009-09-05,62
2009-09-06 - 2009-09-12,60
2009-09-13 - 2009-09-19,62
2009-09-20 - 2009-09-26,60
2009-09-27 - 2009-10-03,58
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,60
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,60
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,55
2009-11-29 - 2009-12-05,69
2009-12-06 - 2009-12-12,71
2009-12-13 - 2009-12-19,80
2009-12-20 - 2009-12-26,76
2009-12-27 - 2010-01-02,63
2010-01-03 - 2010-01-09,68
2010-01-10 - 2010-01-16,68
2010-01-17 - 2010-01-23,62
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,63
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,61
2010-03-14 - 2010-03-20,58
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,60
2010-04-04 - 2010-04-10,63
2010-04-11 - 2010-04-17,61
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,59
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,59
2010-05-23 - 2010-05-29,61
2010-05-30 - 2010-06-05,58
2010-06-06 - 2010-06-12,62
2010-06-13 - 2010-06-19,61
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,72
2010-07-04 - 2010-07-10,69
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,69
2010-07-25 - 2010-07-31,68
2010-08-01 - 2010-08-07,67
2010-08-08 - 2010-08-14,66
2010-08-15 - 2010-08-21,67
2010-08-22 - 2010-08-28,68
2010-08-29 - 2010-09-04,69
2010-09-05 - 2010-09-11,65
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,66
2010-09-26 - 2010-10-02,63
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,64
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,66
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,73
2010-12-05 - 2010-12-11,75
2010-12-12 - 2010-12-18,84
2010-12-19 - 2010-12-25,88
2010-12-26 - 2011-01-01,64
2011-01-02 - 2011-01-08,67
2011-01-09 - 2011-01-15,64
2011-01-16 - 2011-01-22,63
2011-01-23 - 2011-01-29,62
2011-01-30 - 2011-02-05,63
2011-02-06 - 2011-02-12,66
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,61
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,59
2011-05-01 - 2011-05-07,59
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,61
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,62
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,58
2011-07-10 - 2011-07-16,62
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,60
2011-09-18 - 2011-09-24,59
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,59
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,62
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,71
2011-12-04 - 2011-12-10,71
2011-12-11 - 2011-12-17,75
2011-12-18 - 2011-12-24,84
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,60
2012-01-15 - 2012-01-21,57
2012-01-22 - 2012-01-28,56
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,57
2012-02-12 - 2012-02-18,68
2012-02-19 - 2012-02-25,56
2012-02-26 - 2012-03-03,54
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,55
2012-03-18 - 2012-03-24,57
2012-03-25 - 2012-03-31,54
2012-04-01 - 2012-04-07,53
2012-04-08 - 2012-04-14,50
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,53
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,54
2012-06-10 - 2012-06-16,55
2012-06-17 - 2012-06-23,54
2012-06-24 - 2012-06-30,55
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,59
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,58
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,59
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,58
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,59
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,56
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,58
2012-10-28 - 2012-11-03,56
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,59
2012-11-18 - 2012-11-24,53
2012-11-25 - 2012-12-01,70
2012-12-02 - 2012-12-08,67
2012-12-09 - 2012-12-15,70
2012-12-16 - 2012-12-22,85
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,64
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,60
2013-01-20 - 2013-01-26,57
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,56
2013-02-10 - 2013-02-16,58
2013-02-17 - 2013-02-23,57
2013-02-24 - 2013-03-02,56
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,55
2013-03-24 - 2013-03-30,57
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,56
2013-04-21 - 2013-04-27,57
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,56
2013-05-19 - 2013-05-25,56
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,57
2013-06-16 - 2013-06-22,58
2013-06-23 - 2013-06-29,61
2013-06-30 - 2013-07-06,58
2013-07-07 - 2013-07-13,73
2013-07-14 - 2013-07-20,74
2013-07-21 - 2013-07-27,69
2013-07-28 - 2013-08-03,67
2013-08-04 - 2013-08-10,66
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,65
2013-08-25 - 2013-08-31,64
2013-09-01 - 2013-09-07,61
2013-09-08 - 2013-09-14,61
2013-09-15 - 2013-09-21,59
2013-09-22 - 2013-09-28,59
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,59
2013-10-13 - 2013-10-19,61
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,68
2013-11-17 - 2013-11-23,65
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,80
2013-12-08 - 2013-12-14,83
2013-12-15 - 2013-12-21,97
2013-12-22 - 2013-12-28,77
2013-12-29 - 2014-01-04,71
2014-01-05 - 2014-01-11,73
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,62
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,64
2014-02-16 - 2014-02-22,62
2014-02-23 - 2014-03-01,61
2014-03-02 - 2014-03-08,63
2014-03-09 - 2014-03-15,60
2014-03-16 - 2014-03-22,59
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,61
2014-04-13 - 2014-04-19,60
2014-04-20 - 2014-04-26,57
2014-04-27 - 2014-05-03,58
2014-05-04 - 2014-05-10,60
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,59
2014-06-01 - 2014-06-07,61
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,59
2014-06-22 - 2014-06-28,59
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,62
2014-07-13 - 2014-07-19,60
2014-07-20 - 2014-07-26,62
2014-07-27 - 2014-08-02,61
2014-08-03 - 2014-08-09,62
2014-08-10 - 2014-08-16,59
2014-08-17 - 2014-08-23,61
2014-08-24 - 2014-08-30,61
2014-08-31 - 2014-09-06,59
2014-09-07 - 2014-09-13,60
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,62
2014-09-28 - 2014-10-04,61
2014-10-05 - 2014-10-11,59
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,60
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,58
2014-11-09 - 2014-11-15,61
2014-11-16 - 2014-11-22,62
2014-11-23 - 2014-11-29,57
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,78
2014-12-14 - 2014-12-20,86
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,64
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,62
2015-01-18 - 2015-01-24,59
2015-01-25 - 2015-01-31,60
2015-02-01 - 2015-02-07,58
2015-02-08 - 2015-02-14,60
2015-02-15 - 2015-02-21,60
2015-02-22 - 2015-02-28,60
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,61
2015-03-15 - 2015-03-21,57
2015-03-22 - 2015-03-28,58
2015-03-29 - 2015-04-04,58
2015-04-05 - 2015-04-11,58
2015-04-12 - 2015-04-18,57
2015-04-19 - 2015-04-25,58
2015-04-26 - 2015-05-02,58
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,59
2015-05-17 - 2015-05-23,59
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,59
2015-06-07 - 2015-06-13,59
2015-06-14 - 2015-06-20,60
2015-06-21 - 2015-06-27,60
2015-06-28 - 2015-07-04,59
2015-07-05 - 2015-07-11,60
2015-07-12 - 2015-07-18,60
2015-07-19 - 2015-07-25,62
2015-07-26 - 2015-08-01,60
2015-08-02 - 2015-08-08,60
2015-08-09 - 2015-08-15,59
2015-08-16 - 2015-08-22,60
2015-08-23 - 2015-08-29,61
2015-08-30 - 2015-09-05,59
2015-09-06 - 2015-09-12,60
2015-09-13 - 2015-09-19,58
2015-09-20 - 2015-09-26,60
2015-09-27 - 2015-10-03,58
2015-10-04 - 2015-10-10,59
2015-10-11 - 2015-10-17,59
2015-10-18 - 2015-10-24,58
2015-10-25 - 2015-10-31,58
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,59
2015-11-15 - 2015-11-21,62
2015-11-22 - 2015-11-28,56
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,80
2015-12-13 - 2015-12-19,91
2015-12-20 - 2015-12-26,77
2015-12-27 - 2016-01-02,64
2016-01-03 - 2016-01-09,71
2016-01-10 - 2016-01-16,62
2016-01-17 - 2016-01-23,61
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,58
2016-02-07 - 2016-02-13,60
2016-02-14 - 2016-02-20,58
2016-02-21 - 2016-02-27,57
2016-02-28 - 2016-03-05,58
2016-03-06 - 2016-03-12,59
2016-03-13 - 2016-03-19,56
2016-03-20 - 2016-03-26,57
2016-03-27 - 2016-04-02,58
2016-04-03 - 2016-04-09,57
2016-04-10 - 2016-04-16,59
2016-04-17 - 2016-04-23,56
2016-04-24 - 2016-04-30,52


Top regions for ups
Region,ups
United States,100
Canada,58
Puerto Rico,47
Ecuador,39
United Kingdom,30
Poland,28
Ireland,28
Singapore,26
Germany,24
New Zealand,23
Australia,23
Philippines,22
Pakistan,21
South Africa,21
United Arab Emirates,20
Hong Kong,18
Italy,18
France,18
Netherlands,17
Turkey,17
Austria,17
Slovakia,17
India,16
Norway,16
Mexico,16
Denmark,16
Greece,15
Belgium,15
Switzerland,15
Sweden,15
Portugal,14
Romania,14
Czech Republic,13
Finland,13
Spain,13
China,13
Israel,13
Malaysia,12
Venezuela,11
Taiwan,9
Colombia,9
Indonesia,9
Hungary,8
Chile,8
Saudi Arabia,7
Peru,7
Argentina,6
Thailand,6
Japan,6
Ukraine,5
Russia,4
Vietnam,4
Brazil,4


Top cities for ups
City,ups
New York (United States),100
Philadelphia (United States),96
Houston (United States),95
Atlanta (United States),94
Phoenix (United States),94
Seattle (United States),94
San Diego (United States),93
San Francisco (United States),93
Chicago (United States),92
Miami (United States),91
Los Angeles (United States),91
Denver (United States),91
Washington (United States),90
Boston (United States),90
Austin (United States),90



Top searches for ups
ups tracking,100
ups store,30
usps,15
grown ups,15
fedex,15
push ups,10
pop ups,10
ups locations,10
ups shipping,10
ups number,5
usps tracking,5
grown ups 2,5
ups apc,5
ups jobs,5
apc,5
pull ups,5
sit ups,5
dhl,5
my ups,5
fedex tracking,5
ups hours,5
ups canada,5
ups ground,5
ups drop off,5
ups track,5
ups uk,5
ups tracking number,5
ups freight,5
ups store locations,5
ups kargo,5
ups phone number,5
ups express,0
shape ups,0
the ups store,0
post office,0
roll ups,0
ups rates,0
ups careers,0
fed ex,0
ups near me,0
ups customer service,0
ups contact,0
ups drop box,0
ups usa,0
pin ups,0
ups pickup,0
ups stores,0
grown ups movie,0
grown ups cast,0
ups location,0



Rising searches for ups
grown ups 2,Breakout
grown ups,+2,650%
usps tracking,+850%
pull ups,+350%
my ups,+250%
ups locations,+250%
ups number,+200%
ups tracking,+200%
push ups,+190%
sit ups,+130%



